step 0: train loss 10.9886, val loss 10.9897
iter 1400: loss 3.8243, time 150.36ms, mfu 110.56%
iter 1410: loss 4.0679, time 152.51ms, mfu 110.54%
iter 1420: loss 4.1339, time 152.19ms, mfu 110.55%
iter 1430: loss 3.9945, time 152.63ms, mfu 110.52%
iter 1440: loss 4.0787, time 152.06ms, mfu 110.54%
iter 1450: loss 3.8510, time 151.69ms, mfu 110.58%
iter 1460: loss 4.1663, time 151.66ms, mfu 110.62%
iter 1470: loss 3.9196, time 151.75ms, mfu 110.65%
iter 1480: loss 4.0244, time 151.14ms, mfu 110.72%
iter 1490: loss 4.0896, time 151.72ms, mfu 110.75%
iter 1500: loss 3.8965, time 152.12ms, mfu 110.74%
iter 1510: loss 4.0681, time 152.43ms, mfu 110.71%
iter 1520: loss 3.9180, time 152.89ms, mfu 110.64%
iter 1530: loss 3.8535, time 152.45ms, mfu 110.62%
iter 1540: loss 3.9085, time 152.72ms, mfu 110.58%
iter 1550: loss 3.9329, time 152.52ms, mfu 110.56%
iter 1560: loss 4.0320, time 152.06ms, mfu 110.57%
iter 1570: loss 3.9569, time 152.78ms, mfu 110.53%
iter 1580: loss 3.9879, time 153.76ms, mfu 110.43%
